feature,old_column_present,new_column_present,matched_patients,missing_patients,mean_abs_diff,median_abs_diff,max_abs_diff,correlation,exact_match_count,comparison_class
sig_mean_mean,True,True,88,0,0.011593482240128782,0.008117865947289263,0.056040805245495706,0.9927999631284129,0,DIFFERENT
sig_mean_std,True,True,88,0,0.009767707255547637,0.0063664457211064255,0.04582262522994758,0.8583742133245329,0,DIFFERENT
sig_mean_p10,True,True,88,0,0.02171171886217875,0.012850603280738688,0.25995777944199405,0.9666964974286721,0,DIFFERENT
sig_mean_p50,True,True,88,0,0.014976980073036076,0.010778301603135938,0.16620377029603733,0.9857187126475812,0,DIFFERENT
sig_mean_p90,True,True,88,0,0.016031582825502044,0.010143504315363986,0.08581773373584453,0.9842567609403637,0,DIFFERENT
sig_std_mean,True,True,88,0,0.0028409090909090936,0.0,0.08333333333333337,0.596041893419257,83,DIFFERENT
sig_std_std,True,True,88,0,0.008410306415991109,2.7267094759175714e-17,0.2823298512866399,0.7001896711996873,83,DIFFERENT
sig_std_p10,True,True,88,0,1.261617073437678e-16,1.1102230246251565e-16,2.220446049250313e-16,0.5174020267150052,88,EXACT
sig_std_p50,True,True,88,0,0.0,0.0,0.0,,88,EXACT
sig_std_p90,True,True,88,0,0.0,0.0,0.0,,88,EXACT
sig_p2p_mean,True,True,88,0,0.9955136756643083,0.7010154047346155,4.989017711458844,0.9438504181980265,0,DIFFERENT
sig_p2p_std,True,True,88,0,0.8758632799401389,0.5636846211634822,3.4508162817029806,0.8116598858347118,0,DIFFERENT
sig_p2p_p10,True,True,88,0,0.7399343361163577,0.3044153213560703,6.654497286526642,0.887107780254471,0,DIFFERENT
sig_p2p_p50,True,True,88,0,0.9331203026178279,0.5199399550567385,5.841094501708474,0.9416561373394842,0,DIFFERENT
sig_p2p_p90,True,True,88,0,2.043792734920942,1.2307472078745896,9.850995905517618,0.8891120691389011,0,DIFFERENT
sig_skew_mean,True,True,88,0,0.2264715978081216,0.1225974388211668,1.5658138224823388,0.9867048132097521,0,DIFFERENT
sig_skew_std,True,True,88,0,0.3108730528834165,0.1381161159409916,2.447276463121864,0.7611925749843327,0,DIFFERENT
sig_skew_p10,True,True,88,0,0.41256499442220024,0.28135565944849383,3.5778152931498433,0.9566933239025318,0,DIFFERENT
sig_skew_p50,True,True,88,0,0.2383714710372445,0.14661632881578301,2.135770927471688,0.9857178164481302,0,DIFFERENT
sig_skew_p90,True,True,88,0,0.27258456503605216,0.14038721944632582,2.1917243284967673,0.9747406890971121,0,DIFFERENT
sig_kurt_mean,True,True,88,0,2.7296270135853287,1.1381857286587185,29.45272846188484,0.8796637267228711,0,DIFFERENT
sig_kurt_std,True,True,88,0,5.8288656675120825,1.0405120119753937,83.2855817733268,0.5992305632281684,0,DIFFERENT
sig_kurt_p10,True,True,88,0,1.186030622928478,0.7869228463936739,15.503125069666904,0.9279096066053756,0,DIFFERENT
sig_kurt_p50,True,True,88,0,1.4284982488974611,0.801400985208625,11.56951629486947,0.9680999926010786,0,DIFFERENT
sig_kurt_p90,True,True,88,0,5.889941674895585,1.3456520146695425,95.24164246757645,0.7395951679180325,0,DIFFERENT
beats_mean,True,True,88,0,5.7299966195132095,4.3125,19.045454545454533,0.9699516192169653,0,DIFFERENT
beats_std,True,True,88,0,6.5404081507228735,4.316719894859974,37.5450843618557,0.6764058004054785,0,DIFFERENT
beats_p10,True,True,88,0,7.21590909090909,4.900000000000006,52.9,0.9346888259586865,1,DIFFERENT
beats_p50,True,True,88,0,6.221590909090909,5.0,23.5,0.9669653062866426,2,DIFFERENT
beats_p90,True,True,88,0,11.31363636363636,7.749999999999986,66.29999999999997,0.9053262055774529,0,DIFFERENT
beats_per_min_mean,True,True,88,0,2.8649983095178557,2.156249999820311,9.522727271933732,0.9699516192169655,0,DIFFERENT
beats_per_min_std,True,True,88,0,3.270204075088919,2.158359947250121,18.772542179363477,0.6764058004054783,0,DIFFERENT
beats_per_min_p10,True,True,88,0,3.6079545451538837,2.4499999997958355,26.44999999779584,0.9346888259586866,1,DIFFERENT
beats_per_min_p50,True,True,88,0,3.110795454286223,2.499999999791669,11.749999999020858,0.9669653062866428,2,DIFFERENT
beats_per_min_p90,True,True,88,0,5.656818181346781,3.8749999996770796,33.149999997237494,0.9053262055774531,0,DIFFERENT
mean_rr_mean,True,True,88,0,0.028745701489106247,0.019550968967907423,0.14748466000200589,0.9629093525497201,0,DIFFERENT
mean_rr_std,True,True,88,0,0.04169161018049685,0.01698617094832334,0.3798239868730089,0.5219255142435257,0,DIFFERENT
mean_rr_p10,True,True,88,0,0.04015305691514655,0.027378528994445706,0.3674171966625297,0.8900131328511803,0,DIFFERENT
mean_rr_p50,True,True,88,0,0.02942557677135914,0.024716202755100225,0.11770681975029795,0.9684219328104747,0,DIFFERENT
mean_rr_p90,True,True,88,0,0.04645691802426173,0.0259827500325589,0.6933610390499887,0.8880300513161926,0,DIFFERENT
sdnn_mean,True,True,88,0,0.04731472790201492,0.014649160071651596,0.5760626154327365,0.7855110668804502,0,DIFFERENT
sdnn_std,True,True,88,0,0.1088391002748427,0.011734046352029447,1.967981528528182,0.4759043852808759,0,DIFFERENT
sdnn_p10,True,True,88,0,0.019765952277651076,0.012575324111224685,0.11704216531978894,0.9428565374647104,0,DIFFERENT
sdnn_p50,True,True,88,0,0.023243181388373505,0.01312058875847633,0.190566825779583,0.9407151627011848,0,DIFFERENT
sdnn_p90,True,True,88,0,0.08988233962859947,0.017640487314284248,3.1753813329725573,0.624587486759551,0,DIFFERENT
rmssd_mean,True,True,88,0,0.06064472629352551,0.020592789568353843,0.7112740055129463,0.8318042147347348,0,DIFFERENT
rmssd_std,True,True,88,0,0.13239839380681898,0.01747743882140787,2.1273554382022652,0.5428064168033795,0,DIFFERENT
rmssd_p10,True,True,88,0,0.022662531922933594,0.014974800735532437,0.10112340289175897,0.9717552739185668,0,DIFFERENT
rmssd_p50,True,True,88,0,0.03684173021187247,0.019178809994066945,0.25302607974292074,0.937587063548991,0,DIFFERENT
rmssd_p90,True,True,88,0,0.1224412385699807,0.0314405523906095,3.973584582262489,0.6068114417174992,0,DIFFERENT
pnn50_mean,True,True,88,0,4.120494793012586,2.442516597546593,19.499506167725624,0.9789702226623275,0,DIFFERENT
pnn50_std,True,True,88,0,3.7610875667190338,2.500934938532631,16.291262503446998,0.8769552152604819,0,DIFFERENT
pnn50_p10,True,True,88,0,5.090991705349702,2.9260194107644315,33.885826431527725,0.970776707410142,4,DIFFERENT
pnn50_p50,True,True,88,0,5.775816683437282,2.5710126440384755,55.57080712526722,0.9489206870049867,1,DIFFERENT
pnn50_p90,True,True,88,0,6.827631334642167,3.053963436470262,64.62601829803236,0.898959202365537,4,DIFFERENT
mean_hr_mean,True,True,88,0,2.6349305584517455,1.9717306002678399,9.484694572836531,0.9741563643701965,0,DIFFERENT
mean_hr_std,True,True,88,0,2.7194679280679335,2.0705341943762416,16.142536097910096,0.7207146678326388,0,DIFFERENT
